,Geography,Percent 20-49,Percent Male 20-49,Median Age,County,State
613,0500000US42043,45.0,45.599999999999994,39.8,Dauphin County,PA
614,0500000US42045,43.900000000000006,44.60000000000001,39.2,Delaware County,PA
615,0500000US42049,42.2,44.1,40.6,Erie County,PA
616,0500000US42051,40.199999999999996,41.199999999999996,45.6,Fayette County,PA
617,0500000US42055,41.3,41.699999999999996,42.1,Franklin County,PA
618,0500000US42063,41.2,42.800000000000004,40.8,Indiana County,PA
619,0500000US42069,42.1,42.699999999999996,42.1,Lackawanna County,PA
620,0500000US42071,42.599999999999994,42.8,39.3,Lancaster County,PA
621,0500000US42073,38.1,39.9,44.9,Lawrence County,PA
622,0500000US42075,40.8,40.7,40.5,Lebanon County,PA
623,0500000US42077,44.900000000000006,45.7,39.1,Lehigh County,PA
624,0500000US42079,42.800000000000004,44.800000000000004,41.9,Luzerne County,PA
625,0500000US42081,42.50000000000001,43.599999999999994,40.8,Lycoming County,PA
626,0500000US42085,39.699999999999996,41.1,44.8,Mercer County,PA
627,0500000US42089,41.9,41.099999999999994,43.7,Monroe County,PA
628,0500000US42091,43.3,44.699999999999996,41.2,Montgomery County,PA
629,0500000US42095,42.2,43.6,41.8,Northampton County,PA
630,0500000US42097,39.89999999999999,41.300000000000004,44.6,Northumberland County,PA
631,0500000US42101,53.1,53.699999999999996,35.2,Philadelphia County,PA
632,0500000US42107,41.2,44.2,43.9,Schuylkill County,PA
633,0500000US42111,39.4,42.8,46.8,Somerset County,PA
634,0500000US42125,40.2,41.400000000000006,44.0,Washington County,PA
635,0500000US42129,38.300000000000004,39.49999999999999,47.3,Westmoreland County,PA
636,0500000US42133,41.9,42.6,40.9,York County,PA
637,0500000US44003,43.4,44.800000000000004,43.4,Kent County,RI
638,0500000US44005,40.1,42.1,46.7,Newport County,RI
639,0500000US44007,47.900000000000006,48.60000000000001,37.9,Providence County,RI
640,0500000US44009,39.199999999999996,40.4,46.2,Washington County,RI
641,0500000US45003,41.2,40.4,41.3,Aiken County,SC
642,0500000US45007,42.5,42.1,41.0,Anderson County,SC
643,0500000US45013,35.7,38.3,47.6,Beaufort County,SC
644,0500000US45015,46.8,47.4,37.0,Berkeley County,SC
645,0500000US45019,48.9,49.800000000000004,39.1,Charleston County,SC
646,0500000US45035,46.199999999999996,46.5,38.3,Dorchester County,SC
647,0500000US45041,42.6,41.7,40.0,Florence County,SC
648,0500000US45045,46.0,46.0,38.5,Greenville County,SC
649,0500000US45047,42.099999999999994,42.3,39.3,Greenwood County,SC
650,0500000US45051,37.1,37.6,49.1,Horry County,SC
651,0500000US45055,39.4,41.1,41.3,Kershaw County,SC
652,0500000US45057,39.9,39.099999999999994,40.3,Lancaster County,SC
653,0500000US45059,42.1,45.699999999999996,41.3,Laurens County,SC
654,0500000US45063,44.1,44.2,39.6,Lexington County,SC
655,0500000US45073,39.0,40.7,47.2,Oconee County,SC
656,0500000US45075,39.199999999999996,40.2,41.1,Orangeburg County,SC
657,0500000US45077,45.9,47.699999999999996,35.9,Pickens County,SC
658,0500000US45079,50.00000000000001,50.699999999999996,34.2,Richland County,SC
659,0500000US45083,45.0,46.1,38.1,Spartanburg County,SC
660,0500000US45085,43.1,46.400000000000006,36.8,Sumter County,SC
661,0500000US45091,44.099999999999994,44.6,39.5,York County,SC
662,0500000US46083,47.599999999999994,48.3,35.6,Lincoln County,SD
663,0500000US46099,48.7,49.7,35.9,Minnehaha County,SD
664,0500000US46103,41.4,42.099999999999994,40.0,Pennington County,SD
665,0500000US47001,42.599999999999994,43.6,41.1,Anderson County,TN
666,0500000US47009,40.8,41.400000000000006,42.7,Blount County,TN
667,0500000US47011,43.9,43.7,39.6,Bradley County,TN
668,0500000US47037,57.300000000000004,57.6,35.0,Davidson County,TN
669,0500000US47059,39.699999999999996,42.0,45.8,Greene County,TN
670,0500000US47065,45.49999999999999,45.5,39.4,Hamilton County,TN
671,0500000US47093,48.1,49.199999999999996,37.7,Knox County,TN
672,0500000US47113,42.49999999999999,42.0,38.5,Madison County,TN
673,0500000US47119,44.900000000000006,47.0,39.9,Maury County,TN
674,0500000US47125,54.4,56.300000000000004,31.9,Montgomery County,TN
675,0500000US47141,47.1,48.699999999999996,37.9,Putnam County,TN
676,0500000US47147,44.00000000000001,44.49999999999999,39.9,Robertson County,TN
677,0500000US47149,52.0,52.800000000000004,34.6,Rutherford County,TN
678,0500000US47155,41.800000000000004,41.6,43.5,Sevier County,TN
679,0500000US47157,47.4,47.5,35.8,Shelby County,TN
680,0500000US47163,41.7,42.5,45.2,Sullivan County,TN
681,0500000US47165,43.9,43.8,40.5,Sumner County,TN
682,0500000US47179,45.1,44.800000000000004,41.1,Washington County,TN
683,0500000US47187,41.5,41.0,40.2,Williamson County,TN
684,0500000US47189,42.5,42.300000000000004,40.8,Wilson County,TN
685,0500000US48005,41.6,41.599999999999994,37.7,Angelina County,TX
686,0500000US48021,44.2,42.5,40.6,Bastrop County,TX
687,0500000US48027,51.2,52.8,31.7,Bell County,TX
688,0500000US48029,50.800000000000004,51.900000000000006,34.4,Bexar County,TX
689,0500000US48037,43.4,46.6,38.1,Bowie County,TX
690,0500000US48039,48.4,49.4,36.2,Brazoria County,TX
691,0500000US48041,56.4,58.1,28.2,Brazos County,TX
692,0500000US48061,45.1,46.2,32.6,Cameron County,TX
693,0500000US48085,48.400000000000006,48.699999999999996,37.6,Collin County,TX
694,0500000US48091,42.0,42.300000000000004,41.9,Comal County,TX
695,0500000US48099,57.2,56.8,32.7,Coryell County,TX
