,state,county,inc,% change
963,KS,Republic,49342,11.2
964,KS,Rice,47894,6.9
965,KS,Riley,47764,5.8
966,KS,Rooks,49795,16
967,KS,Rush,62819,15.8
968,KS,Russell,53679,8.1
969,KS,Saline,56258,3.8
970,KS,Scott,60794,11.1
971,KS,Sedgwick,57713,3.5
972,KS,Seward,44209,12.4
973,KS,Shawnee,54066,7.4
974,KS,Sheridan,56735,19.5
975,KS,Sherman,52785,18
976,KS,Smith,58450,20.3
977,KS,Stafford,52643,8.7
978,KS,Stanton,94353,22.4
979,KS,Stevens,52345,15.8
980,KS,Sumner,48658,9.4
981,KS,Thomas,51579,7.4
982,KS,Trego,61938,16.3
983,KS,Wabaunsee,58400,6.1
984,KS,Wallace,61727,15.5
985,WA,Wichita,59792,-2
986,WA,Wilson,47962,9.4
987,WA,Woodson,47014,10.9
988,WA,Wyandotte,39143,8.1
990,KY,Adair,41385,11.9
991,KY,Allen,40682,6.8
992,KY,Anderson,45331,7.6
993,KY,Ballard,50888,9.9
994,KY,Barren,43678,7.8
995,KY,Bath,37710,10.8
996,KY,Bell,41763,15.8
997,KY,Boone,56759,6.4
998,KY,Bourbon,55087,2.5
999,KY,Boyd,46039,9.5
1000,KY,Boyle,46181,8.5
1001,KY,Bracken,44913,9.6
1002,KY,Breathitt,39754,11.1
1003,KY,Breckinridge,42724,10.1
1004,KY,Bullitt,50169,7.6
1005,KY,Butler,43937,9.7
1006,KY,Caldwell,44963,12.7
1007,KY,Calloway,44116,9.1
1008,KY,Campbell,58701,6.8
1009,KY,Carlisle,52638,4.6
1010,KY,Carroll,45317,9.4
1011,KY,Carter,39323,13.5
1012,KY,Casey,40837,14.5
1013,KY,Christian,45643,9.6
1014,KY,Clark,47411,8.4
1015,KY,Clay,39099,14.8
1016,KY,Clinton,44613,14.5
1017,KY,Crittenden,43616,10.2
1018,KY,Cumberland,51001,16.3
1019,KY,Daviess,50079,8.6
1020,KY,Edmonson,41099,8.3
1021,KY,Elliott,29572,16.4
1022,KY,Estill,40235,10.8
1023,KY,Fayette,59987,6.8
1024,KY,Fleming,41490,12.7
1025,KY,Floyd,44198,9.1
1026,KY,Franklin,49985,8.2
1027,KY,Fulton,41650,10.9
1028,KY,Gallatin,42255,11.2
1029,KY,Garrard,43418,9
1030,KY,Grant,45039,9.8
1031,KY,Graves,47933,8.6
1032,KY,Grayson,42043,12.2
1033,KY,Green,42768,11.9
1034,KY,Greenup,47675,8.8
1035,KY,Hancock,46528,7.4
1036,KY,Hardin,51525,7.8
1037,KY,Harlan,39123,12.8
1038,KY,Harrison,43811,9.3
1039,KY,Hart,40257,7.8
1040,KY,Henderson,49580,9.9
1041,KY,Henry,48943,9.1
1042,KY,Hickman,54685,0.7
1043,KY,Hopkins,46673,6.1
1044,KY,Jackson,38055,11.3
1045,KY,Jefferson,61474,7.4
1046,KY,Jessamine,55040,7
1047,KY,Johnson,41110,10
1048,KY,Kenton,67808,8
1049,KY,Knott,41185,13.3
1050,KY,Knox,39901,15
1051,KY,Larue,45069,9.3
1052,KY,Laurel,41037,11.2
1053,KY,Lawrence,38139,9.7
1054,KY,Lee,36847,13.9
1055,KY,Leslie,40852,13.2
1056,KY,Letcher,40315,13.6
1057,KY,Lewis,40075,13.7
1058,KY,Lincoln,40880,10.5
1059,KY,Livingston,47052,11.4
1060,KY,Logan,45732,8.9
1061,KY,Lyon,41762,10.1
