state,county,overall pop,u18 pop,18-24 pop,male pop,female pop
SD,Hughe,1389.0,281.0,96.0,818.0,563.0
TN,Cumberland,382.0,85.0,19.0,186.0,196.0
TN,Davidson County,1916.0,148.0,95.0,1354.0,552.0
TN,East Tennessee,5158.0,712.0,333.0,2659.0,2488.0
TN,Middle Tennessee,758.0,132.0,38.0,413.0,341.0
TN,Washington County,392.0,43.0,25.0,253.0,139.0
TN,West Tennessee,1961.0,340.0,119.0,1242.0,705.0
TX,Brazos County,86.0,10.0,10.0,60.0,26.0
TX,El Paso County,836.0,209.0,62.0,513.0,322.0
TX,Harris County,3124.0,332.0,141.0,2098.0,1011.0
TX,McLennan County,195.0,50.0,9.0,121.0,74.0
TX,Potter County,661.0,115.0,25.0,406.0,251.0
TX,San Antonio,2995.0,413.0,156.0,1938.0,1039.0
TX,Tarrant County,1665.0,309.0,68.0,967.0,693.0
TX,Travis County,10211.0,1788.0,820.0,6071.0,4067.0
TX,Wichita County,249.0,20.0,19.0,151.0,94.0
UT,Salt Lake County,3557.0,697.0,235.0,2107.0,1420.0
UT,Utah County,241.0,57.0,6.0,158.0,81.0
VA,Alexandria,120.0,27.0,3.0,77.0,43.0
VA,Arlington County,182.0,29.0,11.0,123.0,58.0
VA,Charlottesville,266.0,20.0,7.0,163.0,93.0
VA,Culpeper County,1191.0,333.0,91.0,638.0,544.0
VA,Fredericksburg,253.0,65.0,21.0,143.0,109.0
VA,Hampton,419.0,87.0,26.0,244.0,175.0
VA,Harrisonburg,426.0,77.0,23.0,273.0,153.0
VA,Loudoun,99.0,22.0,6.0,51.0,47.0
VA,Loudoun County,99.0,22.0,6.0,51.0,47.0
VA,Lynchburg,84.0,10.0,9.0,51.0,33.0
VA,Norfolk,1629.0,322.0,81.0,972.0,645.0
VA,Portsmouth City,120.0,42.0,4.0,63.0,57.0
VA,Prince William,241.0,66.0,12.0,135.0,103.0
VA,Richmond,1822.0,427.0,139.0,1100.0,706.0
VA,Roanoke,216.0,20.0,10.0,127.0,87.0
VA,Virginia Beach,352.0,92.0,22.0,178.0,164.0
VT,Chittenden County,668.0,80.0,33.0,385.0,275.0
VT,Washington,2112.0,401.0,188.0,1158.0,944.0
WA,Clark County,1197.0,230.0,74.0,678.0,505.0
WA,King County,13368.0,2263.0,850.0,8696.0,4231.0
WA,Pierce County,1851.0,200.0,99.0,1116.0,704.0
WA,Snohomish County,1184.0,182.0,71.0,700.0,467.0
WA,Spokane County,1757.0,182.0,130.0,1112.0,621.0
WA,Thurston County,5854.0,987.0,437.0,3405.0,2399.0
WI,Dane County,4775.0,1228.0,311.0,2651.0,2098.0
WI,Eau Claire County,3049.0,874.0,190.0,1597.0,1437.0
WI,Milwaukee County,832.0,170.0,61.0,538.0,289.0
WI,Racine County,193.0,53.0,11.0,110.0,82.0
WV,Cabell County,235.0,12.0,18.0,155.0,80.0
WV,Harrison,720.0,47.0,74.0,424.0,287.0
WV,Kanawha County,298.0,28.0,19.0,181.0,114.0
WV,Ohio County,122.0,3.0,20.0,69.0,50.0
WY,Albany County,648.0,106.0,79.0,390.0,256.0
WY,Laramie County,648.0,106.0,79.0,390.0,256.0
